326792,189827,364234,9514,261912,194745,72820,217996,533785,540230,554755,470663,309068,185951,561483,361809,259422,148099,178122,287510,292424,295024,268604,108747,469873,325608,305760,307981,470139,179287,130663,469852,303304,199293,210269,561636,13823,186029,316587,15141,175682,312461,471308,326977,15382,198251,195574,48207,145149,New.0.ReferenceOTU576,24773,352379,191687,178146,302844,301004,248563,181834,517331,259261,170124,323257,184464,563485,295190,New.0.ReferenceOTU11,162427,469868,274208,177351,352304,212619,174902,139221,365758,209122,586732,16076,99826,579564,545371
326792,470663,194745,189827,9514,217996,287510,72820,170124,533785,259261,New.0.ReferenceOTU576,561636,268604,554755,191687,148099,48207,13823,540230,469852,178122,15382,307981,305760,469873,561483,292424,178146,517331,108747,471308,130663,323257,325608,186029,24773,301004,312461,162427,210269,139221,15141,364234,195574,326977,316587,248563,309068,259422,175682,145149,303304,274208,261912,198251,563485,185951,181834,295024,302844,470139,295190,209122,184464,469868,199293,352379,177351,212619,361809,365758,352304,New.0.ReferenceOTU11,179287,545371,586732,99826,174902,579564,16076
361809,189827,326792,9514,217996,470663,194745,48207,72820,540230,178122,148099,561483,533785,561636,554755,261912,259261,305760,309068,170124,108747,175682,303304,292424,15141,13823,364234,307981,471308,259422,15382,470139,469873,469852,210269,New.0.ReferenceOTU576,130663,325608,563485,316587,186029,312461,191687,323257,145149,181834,287510,326977,301004,268604,198251,517331,352379,24773,248563,184464,274208,185951,195574,178146,179287,302844,212619,199293,139221,365758,162427,209122,295024,295190,177351,469868,New.0.ReferenceOTU11,579564,174902,16076,586732,545371,352304,99826
326792,194745,189827,470663,185951,287510,9514,554755,309068,307981,217996,469852,72820,191687,259261,178122,268604,517331,15141,48207,199293,561483,469873,261912,212619,108747,13823,561636,533785,210269,540230,170124,563485,15382,305760,130663,471308,316587,364234,New.0.ReferenceOTU576,326977,145149,301004,312461,24773,181834,186029,292424,295024,195574,177351,148099,352379,198251,295190,303304,365758,162427,259422,139221,274208,325608,323257,469868,302844,175682,361809,352304,470139,New.0.ReferenceOTU11,184464,248563,586732,579564,209122,179287,178146,545371,174902,16076,99826
326792,189827,470663,15141,364234,72820,268604,148099,194745,217996,325608,540230,361809,9514,130663,561636,554755,178122,561483,259261,292424,210269,469873,108747,198251,307981,469852,305760,48207,248563,13823,533785,301004,199293,261912,312461,186029,15382,181834,316587,563485,326977,323257,191687,471308,470139,24773,145149,New.0.ReferenceOTU576,170124,302844,274208,309068,185951,259422,517331,175682,303304,212619,178146,287510,162427,352379,295190,469868,184464,579564,295024,179287,365758,195574,586732,New.0.ReferenceOTU11,16076,209122,177351,545371,352304,174902,139221,99826
326792,189827,194745,217996,13823,48207,470663,533785,470139,148099,130663,540230,New.0.ReferenceOTU576,554755,312461,9514,178122,364234,72820,15141,469873,170124,325608,323257,15382,259261,561636,469852,198251,305760,561483,307981,248563,186029,287510,108747,326977,261912,309068,302844,292424,191687,316587,303304,268604,175682,181834,471308,178146,210269,185951,361809,139221,301004,352379,24773,563485,259422,145149,162427,274208,184464,199293,209122,469868,579564,212619,179287,295190,177351,517331,195574,365758,New.0.ReferenceOTU11,16076,174902,295024,99826,586732,352304,545371
326792,470663,217996,469852,9514,48207,72820,533785,194745,181834,561483,178122,175682,561636,15141,13823,185951,517331,148099,108747,179287,540230,189827,305760,130663,361809,287510,303304,307981,186029,364234,470139,471308,326977,212619,316587,469873,210269,309068,259422,261912,292424,554755,15382,268604,New.0.ReferenceOTU576,24773,301004,352379,198251,170124,325608,248563,145149,274208,259261,323257,191687,302844,295190,563485,312461,162427,352304,139221,174902,199293,178146,469868,579564,195574,365758,New.0.ReferenceOTU11,16076,177351,295024,184464,209122,545371,586732,99826
326792,470663,561483,72820,533785,217996,554755,469852,194745,185951,268604,189827,13823,191687,307981,9514,561636,287510,170124,199293,130663,139221,471308,540230,15382,301004,261912,New.0.ReferenceOTU576,178122,186029,108747,326977,48207,292424,316587,469873,361809,305760,15141,24773,248563,259261,148099,517331,364234,259422,210269,295024,325608,309068,274208,470139,162427,145149,198251,295190,303304,212619,175682,469868,181834,323257,312461,184464,352304,New.0.ReferenceOTU11,178146,302844,352379,195574,563485,365758,179287,177351,586732,209122,16076,579564,174902,545371,99826
326792,217996,72820,261912,533785,561483,189827,470663,148099,194745,185951,326977,175682,15141,303304,15382,130663,469852,561636,471308,469873,248563,162427,108747,554755,13823,305760,198251,268604,364234,274208,9514,210269,309068,191687,307981,287510,302844,186029,312461,259422,323257,181834,316587,292424,24773,48207,301004,145149,325608,259261,540230,New.0.ReferenceOTU576,470139,361809,563485,517331,469868,178146,170124,179287,212619,178122,184464,295024,352304,199293,177351,195574,139221,209122,New.0.ReferenceOTU11,174902,352379,365758,579564,295190,99826,586732,545371,16076
326792,470663,217996,194745,48207,533785,13823,191687,469852,130663,287510,New.0.ReferenceOTU576,9514,268604,185951,72820,561636,469873,148099,178122,554755,561483,540230,189827,108747,305760,323257,170124,274208,162427,471308,259422,261912,364234,212619,181834,186029,470139,301004,15141,326977,307981,15382,325608,24773,303304,309068,312461,210269,175682,292424,139221,361809,302844,316587,198251,469868,199293,195574,248563,259261,145149,365758,563485,352379,517331,295190,177351,184464,295024,352304,178146,179287,New.0.ReferenceOTU11,579564,586732,16076,209122,99826,545371,174902
326792,194745,15141,470663,469852,217996,13823,48207,361809,191687,178122,9514,554755,540230,189827,561636,185951,533785,307981,New.0.ReferenceOTU576,469873,517331,72820,130663,470139,287510,148099,108747,259261,561483,471308,323257,312461,305760,181834,210269,352379,24773,316587,325608,198251,563485,212619,309068,292424,145149,162427,301004,186029,170124,364234,302844,New.0.ReferenceOTU11,15382,261912,326977,274208,303304,259422,175682,248563,139221,199293,268604,469868,184464,295190,178146,179287,579564,195574,295024,365758,545371,177351,586732,352304,209122,174902,16076,99826
189827,194745,9514,326792,198251,178122,170124,13823,540230,175682,148099,533785,185951,554755,217996,48207,470139,191687,470663,312461,364234,469873,287510,15141,469852,561636,178146,72820,130663,186029,561483,108747,162427,210269,309068,259422,325608,305760,274208,24773,261912,15382,361809,292424,517331,181834,326977,307981,301004,316587,248563,212619,145149,303304,563485,323257,New.0.ReferenceOTU576,302844,295190,471308,352379,139221,195574,New.0.ReferenceOTU11,469868,199293,259261,295024,365758,209122,184464,177351,579564,268604,179287,99826,586732,352304,174902,16076,545371
326792,194745,217996,72820,9514,13823,189827,148099,15141,561636,470663,364234,287510,469852,198251,130663,48207,561483,533785,181834,191687,212619,108747,469873,185951,540230,145149,301004,305760,471308,323257,162427,24773,292424,259261,178122,210269,554755,New.0.ReferenceOTU576,15382,307981,139221,316587,326977,186029,352379,312461,470139,248563,325608,469868,309068,170124,259422,563485,274208,268604,303304,175682,361809,517331,261912,302844,199293,178146,295190,179287,352304,184464,99826,579564,New.0.ReferenceOTU11,195574,586732,365758,209122,174902,295024,177351,545371,16076
189827,326792,194745,217996,364234,185951,469873,261912,9514,178122,191687,72820,316587,287510,563485,561483,470663,533785,108747,130663,561636,198251,326977,309068,292424,145149,199293,469852,554755,15382,13823,307981,305760,210269,170124,48207,177351,540230,15141,175682,274208,New.0.ReferenceOTU576,186029,268604,470139,303304,301004,181834,471308,24773,323257,212619,148099,312461,352379,352304,361809,259422,325608,259261,195574,248563,295190,302844,162427,179287,469868,517331,184464,New.0.ReferenceOTU11,586732,178146,365758,579564,295024,174902,209122,139221,16076,99826,545371
326792,178122,189827,217996,72820,148099,9514,199293,561483,554755,185951,469873,533785,261912,470663,292424,130663,295024,540230,364234,325608,309068,145149,194745,179287,13823,108747,305760,15141,469852,259422,326977,307981,175682,561636,186029,15382,302844,48207,361809,323257,210269,316587,191687,471308,470139,24773,198251,295190,312461,303304,170124,301004,139221,259261,469868,162427,248563,212619,563485,181834,287510,195574,579564,352379,184464,178146,New.0.ReferenceOTU576,274208,177351,352304,209122,New.0.ReferenceOTU11,99826,586732,268604,517331,365758,545371,174902,16076
326792,189827,194745,470663,9514,554755,533785,259261,469852,130663,15382,540230,48207,148099,287510,198251,309068,469873,364234,108747,217996,517331,561636,292424,13823,185951,210269,72820,312461,561483,326977,268604,15141,175682,305760,186029,259422,178122,470139,307981,302844,325608,178146,295024,212619,24773,145149,New.0.ReferenceOTU576,471308,181834,316587,261912,303304,323257,563485,248563,301004,170124,139221,162427,352379,274208,177351,191687,195574,199293,209122,361809,469868,179287,295190,184464,New.0.ReferenceOTU11,365758,586732,579564,174902,99826,16076,352304,545371
