Feature_id	Mean_decrease_in_accuracy	Standard_deviation
189827	0.00186752168519758	0.00022923292816837
72820	0.0015561109838179	0.000356310189494939
469873	0.000487296444891246	0.000299722201925641
303304	0.000440726306612939	0.000199646175174038
470663	0.000407523808751541	0.000338280296459487
292424	0.000254481634522107	0.000250534790746396
210269	0.000251064054161918	0.000367007658199052
469852	0.000221607445760676	0.000358375399831523
309068	9.80963831518245e-05	0.000240146399146187
540230	-7.13728962045166e-05	0.000221599913196494
316587	-0.000150842848979216	0.000141648295672138
108747	-0.000316453230565408	0.000589537971818228
305760	-0.000330479802629167	0.00019210873857168
326977	-0.00047860651916912	0.000258642201653528
