Feature_id	Mean_decrease_in_accuracy	Standard_deviation
217996	0.00303878803896404	0.000993916279955518
189827	0.00109956559356365	0.000172171113485406
326792	0.00101531483903099	0.00022501561198667
72820	0.000925979579501347	0.000340463288826221
561483	0.000695650790097721	0.000186625778222172
194745	0.000677881465471373	0.000228600544495444
191687	0.000457055365145687	0.000153727460024565
261912	0.00045296964839203	0.000183300992397267
533785	0.000444481215700385	0.00015658199729412
470663	0.000416380244412895	0.000192818305669075
364234	0.000391570171115624	0.000108457862728025
13823	0.00030055633721171	0.00013445612007668
210269	0.000278584282266598	0.000264328739215994
195574	0.000220857770218774	7.66883312923482e-05
48207	0.000185629833144591	0.000115605182942878
326977	0.000176418646518473	0.000130442740761121
303304	0.000170882658398844	8.69395686093989e-05
185951	0.000170127810810374	9.40496186838769e-05
561636	0.000162763410289583	0.000160756576166782
309068	0.000156558123933069	0.000105497054969714
554755	0.000155069831041515	0.000131604997723458
9514	0.000145920714796361	7.54940155361425e-05
469873	0.000144118559431864	0.000110541226460014
181834	0.000140540229577503	0.000101002932102145
162427	0.000123364524388618	5.5047977166587e-05
287510	0.000119019013272064	5.56827515670811e-05
212619	0.000106960085485551	8.92422126514511e-05
579564	0.000106778150807826	6.34368720287074e-05
292424	0.00010102746811383	9.94029161048626e-05
178122	8.40810882082473e-05	4.21765071485957e-05
295024	8.36346878820079e-05	6.4060313532744e-05
268604	8.30063026905408e-05	5.17292306290924e-05
302844	7.55727164363224e-05	8.70143186640383e-05
469868	7.07955729163136e-05	3.67390311271533e-05
130663	6.32297372789971e-05	6.88774813600235e-05
563485	5.75475987498238e-05	6.23638846872617e-05
352379	5.44693535677223e-05	5.11594267432416e-05
145149	5.27309450877666e-05	6.82720660792607e-05
365758	5.00933769407068e-05	5.02961109674751e-05
186029	4.99128711275392e-05	0.000105085209777453
540230	4.63913669894665e-05	9.13885865303745e-05
517331	3.73209111374018e-05	3.54987230147338e-05
259261	3.6138119493463e-05	6.1219316685211e-05
99826	3.48337267902983e-05	4.61817904403868e-05
New.0.ReferenceOTU576	3.37066857546964e-05	6.70382799882128e-05
199293	3.34960243112546e-05	4.16463257433362e-05
274208	2.89498724819444e-05	0.000101134106359365
175682	2.77164703319796e-05	5.08341538519859e-05
179287	2.66612433246916e-05	3.69234776783851e-05
545371	2.58412826863953e-05	3.3846582163569e-05
139221	2.28376183071134e-05	3.26094835375494e-05
361809	1.86579464940806e-05	3.64587159819062e-05
325608	1.85212775262864e-05	5.32880517682572e-05
24773	1.66857473423957e-05	0.000135025408115745
209122	1.6621032106404e-05	3.78027620994401e-05
177351	1.5476053621066e-05	4.96909182401003e-05
352304	1.51047854164412e-05	2.91287947556812e-05
323257	1.05326311032184e-05	3.65349537385897e-05
15141	9.78543283140008e-06	8.67756209616594e-05
259422	9.73949607313469e-06	4.51310889322108e-05
469852	9.59030998297568e-06	0.000136109399389912
148099	9.04267067044063e-06	4.44315365725581e-05
312461	2.41019831957253e-06	3.40519957404232e-05
178146	2.13070199578801e-06	4.89702491001658e-05
184464	1.95138176077572e-06	5.04785471858707e-05
174902	1.84734334188096e-06	1.37497381673937e-05
15382	1.44049985694642e-06	8.18999829341315e-05
170124	-3.11204767116074e-07	5.16929561505494e-05
New.0.ReferenceOTU11	-1.9103517575859e-06	2.05243802233555e-05
16076	-2.69239870889639e-06	1.16264860906698e-05
248563	-6.68103532934317e-06	2.05498767954992e-05
301004	-1.78080738890488e-05	9.3191202986139e-05
586732	-2.37483056906508e-05	2.6074788790884e-05
307981	-3.03277926793231e-05	7.27480036689549e-05
295190	-4.07205436599348e-05	4.67279936721782e-05
470139	-4.68665151756412e-05	4.32999375407195e-05
108747	-5.23143016429817e-05	0.000101599342016026
471308	-6.23241624113875e-05	6.90235200042841e-05
316587	-7.84238324406535e-05	7.81528630800089e-05
198251	-8.44174266899139e-05	4.37428259232663e-05
305760	-0.000186782766306221	0.000163066847987397
